City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
216,sinabang,2.4803,96.3801,30.66,66,40,1.52,ID,1709010571
217,tamanrasset,22.785,5.5228,9.95,14,0,1.54,DZ,1709010571
218,baiti,13.745,-14.7482,23.17,12,3,2.01,SN,1709010571
219,cururupu,-1.8283,-44.8683,23.23,99,100,1.09,BR,1709010572
220,bousse,12.6606,-1.8922,25.89,21,17,2.59,BF,1709010572
221,starkville,33.4504,-88.8184,19.93,68,0,5.66,US,1709010572
222,embu,-23.6489,-46.8522,23.19,84,71,1.47,BR,1709010573
223,sitia,35.2,26.0986,13.88,77,59,1.11,GR,1709010573
224,tindouf,27.6711,-8.1474,14.1,75,98,8.94,DZ,1709010573
225,cambria,35.5641,-121.0808,13.21,96,92,0.89,US,1709010574
226,goure,13.9835,10.2704,21.46,15,27,3.74,NE,1709010574
227,tshabong,-26.05,22.45,20.09,21,1,4.15,BW,1709010574
228,lazaro cardenas,17.9583,-102.2,23.25,87,10,1.57,MX,1709010575
229,petrozavodsk,61.7849,34.3469,0.73,99,100,2.93,RU,1709010575
230,kabo,7.6994,18.629,25.93,31,100,0.97,CF,1709010576
231,namibe,-15.1961,12.1522,23.63,79,77,2.49,AO,1709010576
232,kingston,17.997,-76.7936,25.53,86,75,3.09,JM,1709010389
233,blackwater,-23.5833,148.8833,34.09,36,23,7.04,AU,1709010577
234,thunder bay,48.4001,-89.3168,-1.92,90,100,1.33,CA,1709010489
235,maumere,-8.6199,122.2111,29.93,70,58,2.11,ID,1709010577
236,cabo san lucas,22.8909,-109.9124,22.01,77,47,3.13,MX,1709010148
237,mindelo,16.8901,-24.9804,21.8,72,12,6.85,CV,1709010578
238,hammerfest,70.6634,23.6821,1.25,75,40,5.66,NO,1709010578
239,trincomalee,8.5711,81.2335,27.79,74,73,7.33,LK,1709010578
240,colonia,50.9333,6.95,5.97,85,0,2.57,DE,1709010579
241,pirae,-17.5167,-149.5333,29.01,70,75,1.54,PF,1709010579
242,nuuk,64.1835,-51.7216,-6.66,79,100,7.72,GL,1709010579
243,limassol,34.675,33.0333,16.04,48,0,7.72,CY,1709010517
244,motueka,-41.1333,173.0167,21.72,53,49,2.19,NZ,1709010580
245,boca suno,-0.7167,-77.1333,22.01,98,84,0.97,EC,1709010580
246,swanage,50.6092,-1.9626,3.8,90,33,4.02,GB,1709010581
247,begamganj,23.6,78.3333,25.82,45,8,2.35,IN,1709010581
248,dawei,14.0833,98.2,34.69,41,20,3.98,MM,1709010581
249,minas de marcona,-15.2119,-75.1103,18.94,89,96,5.18,PE,1709010582
250,tralee,52.2704,-9.7026,7.94,91,100,4.89,IE,1709010582
251,vilyuchinsk,52.9306,158.4028,-6.85,60,0,2.33,RU,1709010582
252,jayapura,-2.5333,140.7,28.66,82,94,2.32,ID,1709010583
253,joshimath,30.5667,79.5667,8.12,88,100,0.94,IN,1709010583
254,alice springs,-23.7,133.8833,37.75,17,92,2.57,AU,1709010583
255,n'djamena,12.1067,15.0444,25.09,35,44,3.2,TD,1709010584
256,port saint john's,-31.6229,29.5448,17.77,75,68,3.35,ZA,1709010584
257,ascension,30.2169,-90.9001,21.12,88,100,4.12,US,1709010585
258,revda,56.801,59.9303,-7.55,72,100,4.87,RU,1709010585
259,talnakh,69.4865,88.3972,-9.33,96,100,6.64,RU,1709010585
260,tucuma,-0.1833,-50.05,23.84,94,57,1.67,BR,1709010495
261,argo,37.6333,22.7333,11.55,82,16,1.88,GR,1709010586
262,christchurch,-43.5333,172.6333,20.51,75,40,6.69,NZ,1709009969
263,codrington,-38.2667,141.9667,22.28,47,42,6.31,AU,1709010586
264,itamaraca,-7.7478,-34.8256,26.03,84,91,3.63,BR,1709010587
265,shuangcheng,45.35,126.2833,-6.32,72,100,2.9,CN,1709010587
266,bengkulu,-3.8004,102.2655,29.68,67,34,3.56,ID,1709010587
267,sahab,31.8721,36.005,6.35,70,89,0.0,JO,1709010588
268,klyuchi,52.2667,79.1667,-9.27,92,90,1.4,RU,1709010588
269,newman,37.3138,-121.0208,14.6,92,75,1.29,US,1709010593
270,kushiro,42.975,144.3747,-1.33,79,100,9.9,JP,1709010593
271,punata,-17.55,-65.8333,15.03,81,90,2.41,BO,1709010593
272,hailey,43.5196,-114.3153,-11.67,75,43,3.31,US,1709010594
273,port lavaca,28.615,-96.6261,22.39,90,100,5.14,US,1709010594
274,gamba,-2.65,10.0,25.8,89,90,2.23,GA,1709010594
275,santa rosalia,27.3167,-112.2833,20.25,49,100,3.32,MX,1709010595
276,bom jesus,-9.0744,-44.3586,22.5,74,98,0.29,BR,1709010595
277,chinde,26.8418,88.0763,17.83,28,62,2.55,NP,1709010595
278,progreso,21.2833,-89.6667,22.06,75,1,4.9,MX,1709010596
279,mpongwe,-13.5091,28.155,17.72,97,100,0.32,ZM,1709010596
280,ambovombe,-25.1667,46.0833,26.86,71,0,2.35,MG,1709010596
281,kavaratti,10.5669,72.642,28.01,74,92,5.76,IN,1709010597
282,dalandzadgad,43.5708,104.425,-9.3,54,16,3.35,MN,1709010597
283,aykhal,66.0,111.5,-19.44,72,66,5.25,RU,1709010597
284,pavlohrad,48.5167,35.8667,-1.12,65,100,5.21,UA,1709010598
285,ippy,6.2679,21.2247,26.63,34,90,0.04,CF,1709010598
286,hatillo,18.4863,-66.8254,23.88,94,52,5.43,PR,1709010598
287,yangjiang,21.85,111.9667,17.06,62,100,4.37,CN,1709010599
288,howard springs,-12.497,131.047,32.71,75,51,3.58,AU,1709010599
289,egilsstadir,65.2653,-14.3948,1.54,99,100,3.05,IS,1709010600
290,taroudant,30.4703,-8.877,11.05,89,31,0.18,MA,1709010600
291,quesada,10.3238,-84.4271,23.73,98,85,1.47,CR,1709010600
292,kantagi,43.5264,68.5775,0.5,44,0,4.4,KZ,1709010601
293,parkersburg,39.2667,-81.5615,14.34,36,0,3.09,US,1709010334
294,susuman,62.7833,148.1667,-28.34,89,54,0.89,RU,1709010601
295,ewo,-0.8725,14.8206,23.85,79,58,0.73,CG,1709010602
296,zyryanskoye,56.8306,86.6258,-14.16,92,98,2.33,RU,1709010602
297,san jose,37.3394,-121.895,13.95,78,20,5.14,US,1709010073
298,alofi,-19.0595,-169.9187,28.94,79,40,3.6,NU,1709010604
299,kyshtovka,56.555,76.6271,-14.81,96,87,3.13,RU,1709010605
300,khandyga,62.6667,135.6,-24.6,91,100,0.45,RU,1709010605
301,qaqortoq,60.7167,-46.0333,-12.01,79,100,4.52,GL,1709010605
302,barcelos,41.5388,-8.6151,7.73,82,9,3.3,PT,1709010606
303,mammoth lakes,37.6485,-118.9721,2.4,65,75,6.69,US,1709010606
304,al qubbah,32.7616,22.2424,7.96,90,20,5.4,LY,1709010606
305,sendafa,9.15,39.0333,14.64,48,94,1.17,ET,1709010607
306,ares,-6.1944,-35.1603,25.0,89,76,3.04,BR,1709010607
307,karbala,32.616,44.0249,9.99,38,91,4.69,IQ,1709010608
308,howrah,22.5892,88.3103,26.0,47,75,1.54,IN,1709010609
309,santana,-0.0583,-51.1817,26.1,89,0,1.54,BR,1709010609
310,crane,31.3974,-102.3501,23.09,20,100,3.07,US,1709010609
311,nema,57.5067,50.5011,-7.32,82,100,5.06,RU,1709010610
